DonorID,Age,IncomeLevel,DonationAmount,NumInteractions,ResponseRate,Engaged,Segment
1,63,Low,542.987766,8,0.898054289,1,0
2,53,Low,95.53701336,12,0.20513964,1,1
3,39,High,311.3886383,2,0.190687721,1,2
4,67,High,780.7917477,4,0.036549668,1,1
5,32,High,496.2898391,3,0.472066945,0,2
6,45,Low,165.2990756,4,0.564841133,0,2
7,63,High,285.4936331,5,0.065708639,1,1
8,43,High,301.4827641,5,0.775527617,0,2
9,47,Low,520.4695365,4,0.453288835,1,1
10,35,High,413.4781439,3,0.524390269,0,2
11,35,Low,368.1635395,8,0.440762747,1,2
12,48,Medium,500.7874609,2,0.400763061,0,1
13,60,High,595.5508199,1,0.559640331,1,0
14,64,Medium,448.1942711,4,0.155240246,1,1
15,48,Low,385.0581585,5,0.18192813,0,1
16,27,High,415.7003559,4,0.861785621,1,2
17,46,Low,567.9641928,3,0.946115462,1,0
18,26,Medium,498.52397,4,0.373309316,1,2
19,48,Low,653.4593677,8,0.270744673,1,1
20,68,High,270.0414845,2,0.643999543,1,0
21,54,High,344.9327788,2,0.408734171,0,1
22,62,Medium,654.6281712,2,0.025386356,0,1
23,26,Low,339.6344313,7,0.156152597,0,2
24,45,High,776.8031438,6,0.715972229,1,0
25,57,Medium,781.0410612,7,0.658923942,0,0
26,36,High,778.4651507,6,0.027095993,1,1
27,46,High,323.8718363,7,0.221972162,1,1
28,68,Low,515.3789897,6,0.231074797,1,1
29,49,High,401.3135036,4,0.671892744,1,2
30,73,Low,684.6325217,2,0.019710538,0,1
31,51,High,841.3209907,3,0.104108582,0,1
32,66,Medium,674.7178831,4,0.799916085,1,0
33,52,High,501.8288691,7,0.178544662,1,1
34,40,Low,426.8921406,4,0.652746108,1,2
35,39,Low,629.8173465,3,0.238182781,1,1
36,71,Medium,255.4252927,2,0.099441393,0,1
37,68,High,607.2672065,6,0.243172191,1,1
38,27,High,317.0618137,3,0.722266932,1,2
39,61,Medium,624.1096432,5,0.855696468,1,0
40,31,High,467.8125246,9,0.830219865,0,2
41,45,High,422.3471202,6,0.39718353,1,1
42,33,Low,322.8975252,6,0.668085137,1,2
43,63,High,428.6509948,9,0.204984295,0,1
44,42,High,611.2243597,4,0.29314773,1,1
45,28,Medium,708.7721222,9,0.896335819,0,2
46,49,Medium,605.2896323,2,0.013001924,1,1
47,38,Low,772.7773049,10,0.085508531,1,1
48,74,High,1007.832543,6,0.207886255,0,0
49,33,High,435.1018084,9,0.026532204,1,1
50,50,High,458.8266566,4,0.181435435,1,1
51,26,Low,211.9917105,1,0.583041561,1,2
52,44,Low,738.1454512,6,0.421424551,1,1
53,52,Medium,759.8793629,8,0.892671711,1,0
54,71,Low,326.5707688,6,0.817443562,1,0
55,31,High,623.5281691,2,0.341817352,1,2
56,68,High,743.4141594,3,0.259423433,0,1
57,32,Low,545.2576539,5,0.379692408,1,2
58,71,High,669.4802865,3,0.590294943,0,0
59,59,High,534.9666024,3,0.268063641,1,1
60,38,Low,256.6290215,5,0.624148908,1,2
61,41,Low,709.8694785,6,0.409411652,0,1
62,60,High,765.0211323,5,0.552047181,1,0
63,74,High,646.900213,3,0.436126529,1,0
64,64,High,309.1005476,5,0.29446576,0,1
65,28,Medium,349.7641151,3,0.948453307,1,2
66,26,Medium,273.9143894,3,0.763605794,1,2
67,30,Medium,653.995472,6,0.140113176,0,1
68,66,Low,753.6779045,5,0.868467976,1,0
69,28,Medium,584.8972488,6,0.487431198,0,2
70,53,Low,688.107117,2,0.894552227,1,0
71,42,Low,326.471782,4,0.799855256,1,2
72,50,Medium,529.1723705,7,0.425213504,1,1
73,68,Medium,226.0257887,6,0.022469308,1,1
74,58,Medium,345.6438501,5,0.268677359,1,1
75,34,High,675.7347096,4,0.541634215,1,2
76,60,Medium,452.0810984,3,0.63347822,1,0
77,38,High,741.8763941,3,0.257887685,1,1
78,55,Low,607.5920007,7,0.139356074,0,1
79,72,High,1046.884432,7,0.834930237,1,0
80,39,Medium,518.753086,6,0.984402181,0,2
81,32,Low,218.7189466,6,0.525690182,0,2
82,38,Low,493.0940688,7,0.171679286,0,1
83,47,Low,307.3968748,8,0.272307327,1,1
84,64,High,695.4360002,6,0.018390677,1,1
85,45,Medium,508.3960129,3,0.914298807,1,2
86,40,Low,472.5456366,7,0.117751083,0,1
87,69,Low,475.1735222,5,0.576516476,1,0
88,42,Low,648.0681636,5,0.274055221,1,1
89,71,High,409.5075535,7,0.554178003,1,0
90,48,High,655.409959,4,0.651420388,1,0
91,50,Medium,709.1142337,9,0.829741804,1,0
92,49,High,431.5716575,4,0.206421272,1,1
93,69,Low,314.7906762,5,0.010995829,1,1
94,65,Medium,397.4069365,2,0.13688563,0,1
95,53,Low,642.0218481,6,0.900018642,0,0
96,39,Low,518.4957743,3,0.873890078,1,2
97,69,High,626.0149877,6,0.597413102,0,0
98,25,Medium,852.5874945,2,0.60051686,1,2
99,49,High,546.1907446,3,0.665036675,1,0
100,31,High,338.2126217,5,0.175371279,1,2
